Grupo	Grams	Subarbts	Arbts	Arbs	SueDes	Manti	Densidad	CVAltMax
azar	10	11	0	0	23	4	23	1.238391871
azar	5	18	1	0	19	10	34	1.1238236
azar	6	5	5	0	28	4	20	2.285685703
azar	10	5	10	0	16	9	33	1.451581765
azar	3	19	13	0	14	15	61	1.25754076
azar	22	10	4	15	7	19	71	0.900139527
azar	1	16	5	0	24	6	32	1.510014617
azar	5	2	9	26	1	28	76	0.724804832
azar	0	1	0	0	37	1	2	6.32455532
azar	17	13	3	0	19	11	35	1.010440292
azar	5	15	24	0	17	10	78	0.843297297
azar	7	2	19	0	18	10	41	1.008680264
azar	6	0	28	0	17	12	70	0.694383093
azar	24	7	27	0	3	23	111	0.609623264
azar	14	9	20	19	7	16	93	0.475312026
azar	8	8	10	0	23	7	44	1.318738695
azar	12	14	26	23	5	24	106	0.478068553
azar	22	0	9	3	19	11	48	1.354301699
azar	9	27	40	0	8	26	146	0.209261465
azar	11	10	32	0	21	9	106	0.491468417
azar	5	4	6	0	24	4	17	1.881931605
azar	5	5	35	0	2	35	75	0.683188691
azar	6	0	22	0	22	12	46	1.014545847
azar	8	3	30	0	11	14	72	0.629927671
azar	6	1	0	1	33	0	8	2.602426057
azar	9	1	26	0	15	9	63	0.783758567
azar	0	3	27	0	11	18	60	0.792004263
azar	13	1	11	0	32	6	34	1.587127673
azar	11	25	24	0	2	33	83	0.671052174
azar	8	1	21	0	14	14	43	0.95200545
azar	12	5	17	0	28	8	52	1.294536249
azar	5	6	35	4	12	14	96	0.479680129
azar	23	3	1	0	10	14	26	0.891640913
azar	0	11	8	2	39	0	23	1.642227911
azar	11	8	10	0	20	9	42	1.20984284
azar	0	2	4	0	39	0	8	2.962053966
azar	5	7	0	0	27	6	24	1.184023543
azar	12	0	8	0	21	13	24	1.392516654
azar	1	34	40	0	0	39	211	0.188803146
azar	9	0	0	1	26	9	10	1.83904121
azar	29	0	13	0	17	9	51	0.929172661
azar	10	12	36	0	7	26	92	0.307532078
azar	26	15	26	6	10	20	133	0.490744101
azar	14	27	27	0	4	26	86	0.542531808
azar	24	2	38	0	2	36	126	0.349065367
azar	1	34	23	0	8	27	99	0.597557561
azar	10	4	1	6	22	9	28	1.678919827
azar	18	9	20	0	8	26	79	0.817070237
azar	9	2	0	0	26	3	20	1.358732463
azar	13	0	0	0	19	8	14	1.476308624
azar	15	0	3	0	15	15	22	1.847571075
azar	17	1	0	0	15	12	18	1.227520231
azar	4	0	1	0	32	2	6	3.03821807
azar	9	0	8	0	29	6	16	1.496454278
azar	13	17	10	0	18	10	54	1.13072912
azar	29	10	6	0	13	12	43	0.985991016
azar	14	0	1	0	29	2	21	1.647998028
azar	25	0	5	0	22	8	33	1.1238236
azar	18	2	1	0	29	4	28	1.20923104
azar	27	5	27	0	16	13	92	0.641819104
suelo	5	18	5	0	21	8	36	1.5046
suelo	23	2	13	0	6	28	52	1.0561
suelo	11	8	30	0	3	30	90	0.7724
suelo	34	12	38	0	7	26	169	0.3277
suelo	0	10	4	0	25	3	17	1.5168
suelo	7	0	0	0	34	5	10	2.1721
suelo	14	0	10	0	25	6	27	1.3966
suelo	8	13	25	3	7	22	89	0.6513
suelo	8	12	16	39	0	34	69	0.2493
suelo	14	6	9	0	17	9	41	1.2380
suelo	14	5	9	0	14	9	30	1.4642
suelo	14	2	2	0	19	8	26	1.8384
suelo	26	11	1	0	11	12	51	0.7329
suelo	16	5	19	0	14	20	64	1.0431
suelo	3	25	0	40	3	32	63	0.1259
suelo	6	0	0	0	33	0	8	2.3577
suelo	7	7	5	0	27	5	20	1.9504
suelo	15	2	0	0	24	9	19	1.4293
suelo	1	0	37	0	6	21	127	0.3269
suelo	6	9	28	0	30	4	73	0.6703
suelo	10	10	28	0	30	4	74	0.6838
suelo	3	3	18	0	28	2	44	1.0880
suelo	7	17	0	0	20	5	32	1.1907
suelo	15	13	17	4	15	8	70	1.0558
suelo	5	7	0	9	23	7	33	1.6985
suelo	10	12	18	0	17	16	49	0.9807
suelo	2	9	19	0	18	9	65	0.7767
suelo	7	13	18	12	6	23	76	0.6991
suelo	19	13	29	0	10	16	104	0.6339
suelo	7	28	6	39	5	31	128	0.1225
suelo	3	14	16	14	2	33	77	0.7864
suelo	12	10	17	0	12	17	65	0.9925
suelo	6	3	15	0	19	7	50	0.9859
suelo	10	9	35	0	5	20	140	0.4041
suelo	9	16	21	0	16	12	77	0.7813
suelo	25	11	16	17	2	20	117	0.6220
suelo	18	7	13	0	21	6	67	0.9700
suelo	23	30	16	0	19	7	92	0.4932
